CEME Operator;Tariff Name;Voltage;Hourly Period;Cycle;EnergyMix;Access;Peak;Mid-Peak;Off-Peak;EGME fee;Public Funding;IEC;
Bluecharge;Cartão Bluecharge;BT/MT;Bi-Horária;Diário;Sim;Ambos;0,2490;0,2490;0,2290;0,1572€;-0,1684€;0,001 €/kWh;
Bluecharge;Cartão Bluecharge;BT/MT;Bi-Horária;Semanal;Sim;Ambos;0,2490;0,2490;0,2290;0,1572€;-0,1684€;0,001 €/kWh;
Moeve (Cepsa);GOW;BT/MT;Simples;Simples;Sim;App;0,2700;0,2700;0,2700;0,1572€;-0,1684€;0,001 €/kWh;
Charge2Go;Eco Green;BT;Bi-Horária;Diário;;Cartão;0,2867;0,2867;0,1950;0,1572€;-0,1684€;0,001 €/kWh;
Charge2Go;Eco Green;BT;Bi-Horária;Semanal;;Cartão;0,2867;0,2867;0,1950;0,1572€;-0,1684€;0,001 €/kWh;
Charge2Go;Eco Green;MT;Bi-Horária;Diário;;Cartão;0,2509;0,2509;0,1848;0,1572€;-0,1684€;0,001 €/kWh;
Charge2Go;Eco Green;MT;Bi-Horária;Semanal;;Cartão;0,2509;0,2509;0,1848;0,1572€;-0,1684€;0,001 €/kWh;
ViaVerde;ViaVerde Electric by ECOCHOICE;BT;Bi-Horária;Diário;;App (cartão já não é disp);0,2650;0,2650;0,1733;0,1572€;-0,1684€;0,001 €/kWh;
ViaVerde;ViaVerde Electric by ECOCHOICE;BT;Bi-Horária;Semanal;;App (cartão já não é disp);0,2650;0,2650;0,1733;0,1572€;-0,1684€;0,001 €/kWh;
ViaVerde;ViaVerde Electric by ECOCHOICE;MT;Bi-Horária;Diário;;App (cartão já não é disp);0,2292;0,2292;0,1631;0,1572€;-0,1684€;0,001 €/kWh;
ViaVerde;ViaVerde Electric by ECOCHOICE;MT;Bi-Horária;Semanal;;App (cartão já não é disp);0,2292;0,2292;0,1631;0,1572€;-0,1684€;0,001 €/kWh;
EDP Comercial;Cartão EDP Charge;BT/MT;Simples;Simples;Sim;Ambos;0,2546;0,2546;0,2546;0,1572€;-0,1684€;0,001 €/kWh;
EDP Comercial;"Cartão EDP Charge Associados UVE (10%)";BT/MT;Simples;Simples;Sim;Ambos;0,2291;0,2291;0,2291;0,1572€;-0,1684€;0,001 €/kWh;
EDP Comercial;"Cartão EDP Charge Clientes energia (20%)";BT/MT;Simples;Simples;Sim;Ambos;0,2037;0,2037;0,2037;0,1572€;-0,1684€;0,001 €/kWh;
EDP Comercial;"Cartão EDP Charge Clientes energia / UVE (30%)";BT/MT;Simples;Simples;Sim;Ambos;0,1782;0,1782;0,1782;0,1572€;-0,1684€;0,001 €/kWh;
EDP Comercial;"Cartão EDP Charge FrotaLocatárias (35%+admin fee)";BT/MT;Simples;Simples;Sim;Ambos;0,2009;0,2009;0,2009;0,1572€;-0,1684€;0,001 €/kWh;
EDP Comercial;Cartão EDP Charge Frota;BT/MT;Simples;Simples;Sim;Ambos;0,2591;0,2591;0,2591;0,1572€;-0,1684€;0,001 €/kWh;
EDP Comercial;"Cartão EDP Charge FrotaClientes Energia";BT/MT;Simples;Simples;Sim;Ambos;0,2073;0,2073;0,2073;0,1572€;-0,1684€;0,001 €/kWh;
EDP Comercial;Cartão EDP Charge;BT/MT;Bi-Horária;Diário;Sim;Ambos;0,2815;0,2815;0,1885;0,1572€;-0,1684€;0,001 €/kWh;
EDP Comercial;"Cartão EDP Charge Associados UVE (10%)";BT/MT;Bi-Horária;Diário;Sim;Ambos;0,2534;0,2534;0,1697;0,1572€;-0,1684€;0,001 €/kWh;
EDP Comercial;"Cartão EDP Charge Clientes energia (20%)";BT/MT;Bi-Horária;Diário;Sim;Ambos;0,2252;0,2252;0,1508;0,1572€;-0,1684€;0,001 €/kWh;
